"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"LGKNXX-GXIPI-ESBWVX","TXFPWZ-UBSON-VJGRE6","2024-11-15 07:03:29","trade","tradespot","currency","fiat","GBP","spot / main",699.9112,0,739.0197
"L6MYJ6-2D7WL-RICXW4","FTQHC7J-npUlc2OBOj5eNMEXHCTbol","2024-11-15 07:04:17","withdrawal","","currency","fiat","GBP","spot / main",-736.0000,1.9500,1.0697
"LUHEZS-HVJH5-AORKOT","FTJng7F-qyvT9rFfKmdQFg21XZiu9x","2024-11-15 13:38:27","deposit","","currency","fiat","GBP","spot / main",520.0000,0,521.0697
"LFMMRG-TNWPW-KM6FIY","T2AU4A-2MKM4-3IYVHJ","2024-11-15 13:42:13","trade","tradespot","currency","fiat","GBP","spot / main",-521.0000,0,0.0697
"LQTHYP-2VJLA-GYTYRO","T2AU4A-2MKM4-3IYVHJ","2024-11-15 13:42:13","trade","tradespot","currency","stable_coin","USDT","spot / main",659.24332532,1.31848665,670.91672804
"LY6KGX-RUIM5-SC2DMY","FTDpr97-fwM1qxBTg1EkNxywjrxf4c","2024-11-15 13:43:06","withdrawal","","currency","stable_coin","USDT","spot / main",-660.00000000,4.00000000,6.91672804
"LS7COK-AQNSN-C3VZ7S","FTOytgg-BdXlhpAWVJmoTZWt5aZaND","2024-11-15 15:19:39","deposit","","currency","stable_coin","USDT","spot / main",657.00000000,0,663.91672804
"LZSUTP-CDPSO-J3VUDO","FTOXfFf-PNgA96CYykW6WyD7voPG13","2024-11-18 11:02:07","withdrawal","","currency","stable_coin","USDT","spot / main",-505.00000000,4.00000000,154.91672804
"L7FDR7-GZ6WY-T2EQ4M","FTKvSVE-TZD8xVHTUicjzPkmm2nCsK","2024-11-20 12:17:46","withdrawal","","currency","stable_coin","USDT","spot / main",-100.00000000,4.00000000,50.91672804
"LSJ5JJ-W3UC4-G7OBSJ","FTSYPtK-MOsbSInlo4T8OvdiTOlxl6","2024-11-27 06:43:30","deposit","","currency","fiat","GBP","spot / main",80.0000,0,80.0697
"LPG7YQ-W65PZ-QZTZG4","T6NZA7-VNCY7-Y2VWKX","2024-11-27 07:20:08","trade","tradespot","currency","fiat","GBP","spot / main",-79.8500,0.1597,0.0600
"LVTGN2-VZ2WV-W6F3DY","T6NZA7-VNCY7-Y2VWKX","2024-11-27 07:20:08","trade","tradespot","currency","stable_coin","USDT","spot / main",100.47816786,0,151.39489590
"L3UZD5-WKMHS-VEYNDM","FTQzY8u-CR6OgxOS8uC5YIpbP0CkWo","2024-11-27 07:21:16","withdrawal","","currency","stable_coin","USDT","spot / main",-141.00000000,4.00000000,6.39489590
"LQXFJY-37SUN-FMEQ2F","FTFfKft-vIogo24VhmX2nOLgFnAgIq","2024-11-28 06:30:16","deposit","","currency","fiat","GBP","spot / main",465.0000,0,465.0600
"LHYL2K-27XXH-4X7XVR","FTdTRML-kvuy2dKr2vyNk8sNbQkuGV","2024-11-28 13:32:34","deposit","","currency","fiat","GBP","spot / main",435.0000,0,900.0600
